"city","country","pop2026","pop2025","popGrowth","latitude","longitude","isValidCity","slug"
"Delhi","India",35518400,34665600,0.0246,28.652,77.2315,true,
"Mumbai","India",22539300,22089000,0.02039,19.0728,72.8826,true,
"Kolkata","India",16151400,15845200,0.01932,22.5626,88.363,true,
"Bangalore","India",14771700,14395400,0.02614,12.9719,77.5937,true,
"Chennai","India",12623100,12336000,0.02327,13.0878,80.2785,true,
"Hyderabad","India",11608400,11337900,0.02386,17.3841,78.4564,true,
"Ahmedabad","India",9272670,9061820,0.02327,23.0258,72.5873,true,
"Surat","India",8820660,8581730,0.02784,21.1959,72.8302,true,
"Pune","India",7706270,7525720,0.02399,18.5196,73.8553,true,
"Kozhikode","India",4520410,4387410,0.03031,11.248,75.7804,true,
"Jaipur","India",4514920,4411110,0.02353,26.9196,75.7878,true,
"Malappuram","India",4487920,4343910,0.03315,11.042,76.0815,true,
"Lucknow","India",4228750,4132670,0.02325,26.8393,80.9231,true,
"Indore","India",3570830,3482830,0.02527,22.7179,75.8333,true,
"Kanpur","India",3410920,3345370,0.01959,26.4652,80.3497,true,
"Nagpur","India",3237750,3170180,0.02131,21.1463,79.0849,true,
"Coimbatore","India",3234160,3158720,0.02388,11.0056,76.9661,true,
"Thiruvananthapuram","India",3156950,3072530,0.02748,8.4855,76.9492,true,
"Bhopal","India",2748760,2686290,0.02326,23.2547,77.4029,true,
"Patna","India",2748390,2689540,0.02188,25.5941,85.1356,true,
"Navi Mumbai","India",2600000,,,19.0368,73.0158,false,
"Agra","India",2535490,2478340,0.02306,27.1833,78.0167,true,
"Kannur","India",2524680,2465140,0.02415,11.8675,75.3576,true,
"Visakhapatnam","India",2496820,2440420,0.02311,17.6801,83.2016,true,
"Vadodara","India",2478540,2424920,0.02211,22.2994,73.2081,true,
"Vijayawada","India",2409770,2350700,0.02513,16.5075,80.6466,true,
"Nashik","India",2408010,2351140,0.02419,19.9973,73.791,true,
"Kollam","India",2317980,2252170,0.02922,8.88113,76.5847,true,
"Rajkot","India",2203310,2150330,0.02464,22.2916,70.7932,true,
"Ludhiana","India",2071490,2028680,0.0211,30.912,75.8538,true,
"Raipur","India",1974130,1923440,0.02635,30.311,78.0898,true,
"Raipur","India",1974130,1923440,0.02635,26.0426,74.0237,true,
"Raipur","India",1974130,1923440,0.02635,21.2333,81.6333,true,
"Madurai","India",1953270,1911650,0.02177,9.91769,78.119,true,
"Meerut","India",1916080,1874890,0.02197,28.98,77.7064,true,
"Varanasi","India",1865080,1826010,0.0214,25.3167,83.0104,true,
"Tiruppur","India",1833070,1783690,0.02768,11.1154,77.3546,true,
"Srinagar","India",1818570,1777610,0.02304,34.0857,74.8055,true,
"Srinagar","India",1818570,1777610,0.02304,30.2224,78.7834,true,
"Aurangabad","India",1809600,1767330,0.02392,24.752,84.3742,true,
"Aurangabad","India",1809600,1767330,0.02392,19.8776,75.3423,true,
"Jamshedpur","India",1806600,1767760,0.02197,22.8028,86.1854,true,
"Jodhpur","India",1703860,1664420,0.0237,26.2684,73.0059,true,
"Jodhpur","India",1703860,1664420,0.0237,21.9017,70.0327,true,
"Ranchi","India",1659720,1621720,0.02343,23.3432,85.3094,true,
"Kota","India",1639630,1599350,0.02519,25.1825,75.8391,true,
"Kota","India",1639630,1599350,0.02519,24.4464,83.1306,true,
"Kota","India",1639630,1599350,0.02519,22.2951,82.0237,true,
"Jabalpur","India",1615460,1582200,0.02102,23.167,79.9501,true,
"Asansol","India",1598450,1565300,0.02118,23.6833,86.9833,true,
"Gwalior","India",1578940,1543500,0.02296,26.2298,78.1734,true,
"Allahabad","India",1555900,1523670,0.02115,25.4448,81.8432,true,
"Amritsar","India",1543480,1511110,0.02142,31.6223,74.8753,true,
"Dhanbad","India",1471280,1441800,0.02045,23.802,86.4432,true,
"Bareilly","India",1446270,1413250,0.02336,28.3668,79.4317,true,
"Aligarh","India",1413060,1379560,0.02428,27.8815,78.0746,true,
"Moradabad","India",1403580,1369880,0.0246,28.8389,78.7768,true,
"Mysore","India",1375940,1345720,0.02246,12.2979,76.6393,true,
"Tiruchirappalli","India",1296500,1269900,0.02095,10.8155,78.6965,true,
"Chandigarh","India",1293580,1266010,0.02178,30.7363,76.7884,true,
"Pimpri","India",1284606,,,18.6229,73.807,false,
"Saharanpur","India",1275830,1242490,0.02683,29.9679,77.5452,true,
"Kalyan","India",1262255,,,19.2437,73.1355,false,
"Thane","India",1261517,,,19.197,72.9635,false,
"Guwahati","India",1250320,1224170,0.02136,26.1844,91.7458,true,
"Salem","India",1247700,1220710,0.02211,11.6538,78.1554,true,
"Nowrangapur","India",1220946,,,19.2311,82.5483,false,
"Faridabad","India",1220229,,,28.4112,77.3132,false,
"Ghaziabad","India",1199191,,,28.6653,77.4391,false,
"Jalandhar","India",1193480,1167600,0.02217,31.3256,75.5792,true,
"Dombivli","India",1193000,,,19.2167,73.0833,false,
"Solapur","India",1130210,1108180,0.01988,17.6715,75.9104,true,
"Warangal","India",1105740,1080490,0.02337,18,79.5833,true,
"Teni","India",1034724,,,10.0112,77.4777,false,
"Haora","India",1027672,,,22.5769,88.3186,false,
"Shivaji Nagar","India",1000000,,,18.5302,73.8526,false,
"Guntur","India",984920,962403,0.0234,16.2997,80.4573,true,
"Firozabad","India",965089,941758,0.02477,27.1509,78.3978,true,
"Bhiwandi","India",964215,943921,0.0215,19.3002,73.0588,true,
"Puducherry","India",962874,940911,0.02334,11.9338,79.8298,true,
"Cherthala","India",958336,931015,0.02935,9.68444,76.3356,true,
"Kottayam","India",914278,885396,0.03262,9.58692,76.5213,true,
"Nellore","India",879934,858853,0.02455,14.4499,79.987,true,
"Bikaner","India",872688,853869,0.02204,28.0176,73.3149,true,
"Muzaffarnagar","India",858867,836997,0.02613,29.4709,77.7033,true,
"Amravati","India",842613,824965,0.02139,20.9333,77.75,true,
"Hubli","India",840214,,,15.3478,75.1338,false,
"Gorakhpur","India",832937,816586,0.02002,29.4477,75.6721,true,
"Gorakhpur","India",832937,816586,0.02002,26.7663,83.3689,true,
"Cuttack","India",821467,804914,0.02056,20.465,85.8793,true,
"Tirupati","India",818428,797302,0.0265,13.6355,79.4199,true,
"Malegaon","India",817947,799708,0.02281,20.5497,74.5346,true,
"Belgaum","India",817205,799729,0.02185,15.8521,74.5045,true,
"Mangalore","India",795066,778685,0.02104,12.9172,74.856,true,
"Kurnool","India",784461,765324,0.02501,15.8289,78.036,true,
"Bhavnagar","India",783199,766887,0.02127,21.7629,72.1533,true,
"Gulbarga","India",768923,751802,0.02277,17.3358,76.8376,true,
"Jammu","India",766223,751521,0.01956,32.7357,74.8691,true,
"Bhubaneshwar","India",762243,,,20.2724,85.8338,false,
"Durgapur","India",756574,740728,0.02139,23.5158,87.308,true,
"Durgapur","India",756574,740728,0.02139,20.0054,79.3027,true,
"Jhansi","India",722089,706823,0.0216,25.4589,78.5799,true,
"Erode","India",721376,705586,0.02238,11.3428,77.7274,true,
"Jamnagar","India",704603,691018,0.01966,22.4729,70.0667,true,
"Patiala","India",701719,684928,0.02451,30.3363,76.3922,true,
"Bilaspur","India",698982,682488,0.02417,31.3303,76.7566,true,
"Bilaspur","India",698982,682488,0.02417,30.3045,77.3042,true,
"Bilaspur","India",698982,682488,0.02417,28.8866,79.2703,true,
"Bilaspur","India",698982,682488,0.02417,28.3913,77.6242,true,
"Bilaspur","India",698982,682488,0.02417,22.08,82.1554,true,
"Raurkela","India",690942,676909,0.02073,22.225,84.8641,true,
"Agartala","India",687817,670388,0.026,23.8361,91.2794,true,
"Ujjain","India",682864,668371,0.02168,23.1824,75.7764,true,
"Kolhapur","India",682552,669008,0.02024,16.6956,74.2317,true,
"Mathura","India",680262,664568,0.02362,27.5035,77.6721,true,
"Imphal","India",679030,662452,0.02503,24.8081,93.9442,true,
"Ajmer","India",678309,664708,0.02046,26.4521,74.6387,true,
"Hosur","India",668932,646438,0.0348,12.7365,77.8326,true,
"Sangli","India",649082,635803,0.02089,16.8544,74.5642,true,
"Udaipur","India",643855,629951,0.02207,27.723,75.4718,true,
"Udaipur","India",643855,629951,0.02207,24.5858,73.7135,true,
"Udaipur","India",643855,629951,0.02207,23.5333,91.4833,true,
"Jalgaon","India",642970,628788,0.02255,21.0029,75.566,true,
"Jalgaon","India",642970,628788,0.02255,17.7403,73.1909,true,
"Vellore","India",639404,625881,0.02161,12.9184,79.1326,true,
"Gaya","India",637382,623751,0.02185,24.7969,85.0039,true,
"Tirunelveli","India",629329,616444,0.0209,8.72742,77.6838,true,
"Bhilai","India",625138,,,21.2092,81.4285,false,
"Panipat","India",625020,611170,0.02266,29.3875,76.9682,true,
"Borivli","India",609617,,,19.235,72.8598,false,
"Rajahmundry","India",605469,593031,0.02097,17.0052,81.7778,true,
"Begusarai","India",605096,586584,0.03156,25.4185,86.1339,true,
"Cochin","India",604696,,,9.93988,76.2602,false,
"Bellary","India",599562,585914,0.02329,15.142,76.924,true,
"Purnia","India",581955,566482,0.02731,25.7789,87.4742,true,
"Muzaffarpur","India",580553,567318,0.02333,26.1226,85.3905,true,
"Kakinada","India",575776,563735,0.02136,16.9604,82.2381,true,
"Nanded","India",550564,,,19.1602,77.315,false,
"Latur","India",549439,537088,0.023,18.3972,76.5678,true,
"Bhagalpur","India",536667,525429,0.02139,25.2445,86.9718,true,
"Rohtak","India",534040,522082,0.0229,28.8945,76.5892,true,
"Shillong","India",532490,520140,0.02374,25.5689,91.8831,true,
"Raniganj","India",523490,507918,0.03066,23.6164,87.1306,true,
"Anantapur","India",522676,510372,0.02411,14.6778,77.6081,true,
"Dehra Dun","India",522081,,,30.3244,78.0339,false,
"Bhayandar","India",520301,,,19.3016,72.8511,false,
"Bhilwara","India",519048,507328,0.0231,25.3471,74.6408,true,
"Ulhasnagar","India",516584,,,19.2167,73.15,false,
"Shiliguri","India",515574,,,26.71,88.4285,false,
"Bilimora","India",510879,,,20.7696,72.9613,false,
"Yamunanagar","India",506441,495719,0.02163,30.128,77.2837,true,
"Karol Bagh","India",505241,,,28.6514,77.1907,false,
"Alwar","India",492649,481531,0.02309,27.5625,76.625,true,
"Sagar","India",492371,481894,0.02174,14.165,75.029,true,
"Dhulian","India",490720,476915,0.02895,24.6813,87.9535,true,
"Akola","India",490505,481186,0.01937,20.7096,76.9981,true,
"Rampur","India",484287,473662,0.02243,31.4494,77.6309,true,
"Rampur","India",484287,473662,0.02243,29.8062,77.4525,true,
"Rampur","India",484287,473662,0.02243,28.8101,79.027,true,
"Bhatpara","India",483129,,,22.8664,88.4011,false,
"Gandhidham","India",478879,465869,0.02793,23.0833,70.1333,true,
"Ottappalam","India",478032,464748,0.02858,10.7735,76.3776,true,
"Baharampur","India",476182,464829,0.02442,24.1047,88.2515,true,
"Bijapur","India",475590,464807,0.0232,16.8244,75.7154,true,
"Karnal","India",470104,458934,0.02434,29.692,76.9845,true,
"Barddhaman","India",468105,458031,0.02199,23.2557,87.8569,true,
"Korba","India",465712,456114,0.02104,22.3458,82.6963,true,
"Karimnagar","India",461530,450584,0.02429,18.4391,79.1286,true,
"Brahmapur","India",455415,446017,0.02107,19.3115,84.7929,true,
"Junagadh","India",454309,444160,0.02285,21.5197,70.4598,true,
"Ramgundam","India",452261,,,18.8008,79.4521,false,
"Dindigul","India",449246,438664,0.02412,10.369,77.9804,true,
"Shyamnagar","India",441956,,,22.8333,88.3667,false,
"Nangi","India",440894,,,22.5083,88.2153,false,
"Ahmadnagar","India",440670,432248,0.01948,19.0946,74.7384,true,
"Davangere","India",435128,,,14.4669,75.9269,false,
"Anand","India",429770,419844,0.02364,22.5525,72.9552,true,
"Bihar Sharif","India",428280,418625,0.02306,25.2008,85.5239,true,
"Roorkee","India",426951,415859,0.02667,29.8663,77.8912,true,
"Bathinda","India",425092,415294,0.02359,30.2075,74.9389,true,
"Aizawl","India",424478,414881,0.02313,23.7289,92.7179,true,
"Shimoga","India",419532,410755,0.02137,13.9316,75.5679,true,
"Bokaro","India",418533,,,23.7871,85.9564,false,
"Karur","India",416661,405879,0.02656,10.9577,78.0809,true,
"Thoothukudi","India",410760,,,8.76735,78.1342,false,
"Tumkur","India",408050,399268,0.022,13.3414,77.1022,true,
"Ichalkaranji","India",407139,398872,0.02073,16.6912,74.4605,true,
"Dewas","India",405021,396079,0.02258,22.9659,76.0553,true,
"Parbhani","India",402845,394363,0.02151,19.2686,76.7708,true,
"Hisar","India",395351,387141,0.02121,29.1539,75.7229,true,
"Khammam","India",391864,382803,0.02367,17.2477,80.1437,true,
"Haldwani","India",391478,381677,0.02568,29.2225,79.5286,true,
"Darbhanga","India",390728,382707,0.02096,26.1522,85.8971,true,
"Habra","India",390202,382033,0.02138,22.842,88.6561,true,
"Satna","India",389835,381322,0.02232,24.5773,80.8272,true,
"Farrukhabad","India",387804,379548,0.02175,27.3913,79.5793,true,
"Jalna","India",384665,376403,0.02195,19.841,75.8864,true,
"Panihati","India",378705,,,22.6909,88.374,false,
"Arrah","India",378233,369680,0.02314,25.5563,84.6634,true,
"Dhulia","India",366980,,,20.9013,74.7774,false,
"Hapur","India",364613,356615,0.02243,28.7299,77.7807,true,
"Nizamabad","India",364301,357286,0.01963,26.0529,83.0579,true,
"Nizamabad","India",364301,357286,0.01963,18.6715,78.0988,true,
"Kharagpur","India",358954,351911,0.02001,25.1245,86.5558,true,
"Kharagpur","India",358954,351911,0.02001,22.3397,87.325,true,
"Ratlam","India",353657,346299,0.02125,23.3303,75.0403,true,
"Punasa","India",350000,,,22.2351,76.3933,false,
"Kukatpalli","India",341709,,,17.4849,78.4138,false,
"Ambattur","India",341049,,,13.0982,80.1615,false,
"Kamarhati","India",332965,,,22.6711,88.3747,false,
"Chanda","India",328351,,,19.9508,79.2952,false,
"Trichur","India",325110,,,10.5167,76.2167,false,
"Shahjanpur","India",320434,,,27.8817,79.9092,false,
"Kulti","India",305405,,,23.7317,86.8437,false,
"Barasat","India",298127,,,22.7215,88.482,false,
"Bali","India",296973,,,22.6486,88.3411,false,
"Greater Noida","India",293908,,,28.4961,77.536,false,
"Noida","India",293908,,,28.58,77.33,false,
"Lal Bahadur Nagar","India",261987,,,17.3477,78.5576,false,
"Baranagar","India",260072,,,22.6413,88.3773,false,
"Gajuwaka","India",258944,,,17.7,83.2167,false,
"New Delhi","India",257803,302363,0.009841800000000001,28.6358,77.2244,true,
"Etawah","India",257448,,,26.7761,79.0213,false,
"Durg","India",255283,,,21.1915,81.2762,false,
"Naihati","India",253221,,,22.894,88.4152,false,
"Sonipat","India",250521,,,28.9948,77.0194,false,
"Avadi","India",250044,,,13.1147,80.1098,false,
"Tiruvottiyur","India",248059,,,13.1582,80.3018,false,
"Saugor","India",247333,,,23.8388,78.7387,false,
"Mau","India",246050,,,25.9417,83.5611,false,
"Barasat","India",237783,,,22.2252,88.4509,false,
"Ramagundam","India",235000,,,18.755,79.474,false,
"Ganganagar","India",231838,,,29.9201,73.875,false,
"Bharatpur","India",229384,,,27.2173,77.4901,false,
"Shrirampur","India",226317,,,22.7528,88.3422,false,
"Raichur","India",225962,,,16.2055,77.3557,false,
"Quthbullapur","India",225816,,,17.5011,78.4582,false,
"Gosaba","India",222764,,,22.1655,88.8007,false,
"Mirzapur","India",220029,,,25.1449,82.5653,false,
"Tanjore","India",219571,,,10.7852,79.1391,false,
"Amarnath","India",217780,,,19.2,73.1667,false,
"Nagercoil","India",213858,,,8.17899,77.4323,false,
"Pali","India",210103,,,25.7728,73.3233,false,
"Rewa","India",208461,,,24.5326,81.2923,false,
"Secunderabad","India",204182,,,17.5043,78.5426,false,
"Bidar","India",204071,,,17.9133,77.5301,false,
"Monghyr","India",203163,,,25.3746,86.4745,false,
"Burhanpur","India",202695,,,21.3087,76.2303,false,
"Nadiad","India",202067,,,22.6938,72.8616,false,
"Chapra","India",201597,,,25.7803,84.7471,false,
"Panchkula","India",200000,,,30.6946,76.8504,false,
"Sikar","India",199932,,,27.6121,75.14,false,
"Bulandshahr","India",198612,,,28.4039,77.8577,false,
"Hospet","India",197846,,,15.2695,76.3871,false,
"Gurgaon","India",197340,,,28.4601,77.0264,false,
"Sambhal","India",196109,,,28.585,78.5696,false,
"Gandhinagar","India",195985,,,23.2167,72.6833,false,
"Murwara","India",195856,,,23.8378,80.3941,false,
"Nangloi Jat","India",194363,,,28.6796,77.068,false,
"Machilipatnam","India",192827,,,16.1875,81.1389,false,
"Katihar","India",192555,,,25.5385,87.5704,false,
"Bhiwani","India",190855,,,28.793,76.1397,false,
"Kultali","India",187942,,,21.9,88.4,false,
"Raebareli","India",186433,,,26.2309,81.2331,false,
"Haridwar","India",186079,,,29.9479,78.1602,false,
"Singrauli","India",185580,,,24.1997,82.6753,false,
"Sujangarh","India",183808,,,27.7,74.4667,false,
"Ellore","India",183387,,,16.7131,81.1044,false,
"Bhusaval","India",183001,,,21.0436,75.7851,false,
"Khandwa","India",182841,,,21.8243,76.3509,false,
"Bahraigh","India",182218,,,27.5743,81.5947,false,
"Sirsa","India",181639,,,29.5349,75.029,false,
"Chandannagar","India",180623,,,22.8622,88.368,false,
"Surendranagar","India",179628,,,22.7271,71.6486,false,
"Vizianagaram","India",179358,,,18.1169,83.4115,false,
"Proddatur","India",177797,,,14.7502,78.5481,false,
"Hugli","India",177005,,,22.9088,88.3967,false,
"Alleppey","India",176783,,,9.49004,76.3264,false,
"Amroha","India",176253,,,28.9031,78.4698,false,
"Tambaram","India",174787,,,12.9246,80.1271,false,
"Pathankot","India",174306,,,32.2748,75.6529,false,
"Bhind","India",174035,,,26.5667,78.7873,false,
"Shimla","India",173503,,,31.1044,77.1666,false,
"Ongole","India",172872,,,15.5036,80.0445,false,
"Gadag-Betageri","India",172813,,,15.4167,75.6167,false,
"Puri","India",170841,,,19.7983,85.8249,false,
"Haldia","India",170695,,,22.0605,88.1097,false,
"Raiganj","India",170252,,,25.6128,88.1245,false,
"Ingraj Bazar","India",170039,,,25.0045,88.1457,false,
"Jaunpur","India",169572,,,25.7536,82.6869,false,
"Fatehpur","India",166480,,,25.9277,80.8127,false,
"Nandyal","India",165337,,,15.478,78.4836,false,
"Udupi","India",165000,,,13.3347,74.7462,false,
"Loni","India",164810,,,28.7514,77.2902,false,
"Sitapur","India",164435,,,27.5619,80.6826,false,
"Shivpuri","India",164215,,,25.4238,77.6622,false,
"Bhadravati","India",163903,,,13.8485,75.705,false,
"Adoni","India",163631,,,15.6279,77.2749,false,
"Veraval","India",163326,,,20.9077,70.3679,false,
"Sambalpur","India",162887,,,21.4653,83.9757,false,
"Gadag","India",162569,,,15.4298,75.6297,false,
"Unnao","India",161671,,,26.5471,80.4878,false,
"Budaun","India",161555,,,28.0381,79.1267,false,
"Jind","India",161260,,,29.3158,76.315,false,
"Madhyamgram","India",161126,,,22.6894,88.4459,false,
"Jamuria","India",160242,,,23.7047,87.0787,false,
"Jaigaon","India",158664,,,26.8477,89.3756,false,
"Cuddalore","India",158569,,,11.7562,79.7669,false,
"Orai","India",158265,,,25.9902,79.4533,false,
"Hoshiarpur","India",158142,,,31.5372,75.9127,false,
"Pallavaram","India",157145,,,12.968,80.1503,false,
"Hanumangarh","India",155687,,,29.5818,74.3294,false,
"Kanchipuram","India",155029,,,12.8351,79.7001,false,
"Alandur","India",153775,,,13.0025,80.2061,false,
"Guna","India",153689,,,24.6469,77.3113,false,
"Bahadurgarh","India",153613,,,28.6929,76.9355,false,
"Bharuch","India",153528,,,21.6948,72.9805,false,
"Medinipur","India",153349,,,22.4211,87.3226,false,
"Fyzabad","India",153047,,,26.7755,82.1502,false,
"Dinapore","India",152940,,,25.6371,85.0479,false,
"Silchar","India",152393,,,24.8273,92.7979,false,
"Banda","India",152218,,,25.4776,80.3349,false,
"Morena","India",152004,,,26.4989,77.9953,false,
"Tonk","India",151331,,,26.1664,75.7882,false,
"Raj-Nandgaon","India",150755,,,21.0969,81.0289,false,
"Serilingampalle","India",150525,,,17.4931,78.302,false,
"Virar","India",150357,,,19.4559,72.8114,false,
"Malkajgiri","India",150000,,,17.4478,78.5263,false,
"Shantipur","India",149983,,,23.2472,88.433,false,
"Barakpur","India",148174,,,22.766,88.3634,false,
"Ambala","India",146787,,,30.361,76.7978,false,
"Krishnanagar","India",145926,,,23.4058,88.4907,false,
"Saharsa","India",145764,,,25.875,86.5961,false,
