PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Temp
T2M,2020,10.0,75.0,28.1,28.14,28.73,29.66,29.97,28.9,27.69,27.79,27.57,27.81,28.48,28.22,28.42
T2M,2020,10.0,75.625,28.08,28.24,28.74,29.62,29.96,28.62,27.4,27.48,27.35,27.66,28.4,28.13,28.3
T2M,2020,10.0,76.25,28.23,29.48,29.9,30.13,29.0,27.33,26.19,26.39,26.3,26.48,27.56,27.02,27.83
T2M,2020,10.0,76.875,22.33,24.22,26.25,26.69,25.29,22.9,22.19,22.29,22.01,22.22,22.46,21.33,23.34
T2M,2020,10.0,77.5,21.58,23.34,26.63,27.73,27.2,24.81,23.64,23.87,23.18,23.08,22.18,20.58,23.98
T2M,2020,10.0,78.125,24.49,26.55,29.89,30.68,30.96,29.08,27.49,28.31,27.08,26.89,25.04,23.24,27.47
T2M,2020,10.0,78.75,24.94,26.98,29.89,30.97,31.59,30.48,28.66,29.47,28.33,28.06,26.29,24.32,28.33
T2M,2020,10.0,79.375,26.17,27.26,28.88,30.45,31.24,30.56,29.31,29.49,28.88,28.76,27.61,25.68,28.69
T2M,2020,10.5,75.0,28.1,28.2,28.75,29.66,30.01,28.85,27.58,27.82,27.43,27.72,28.52,28.29,28.41
T2M,2020,10.5,75.625,28.14,28.56,29.08,29.84,29.91,28.41,27.13,27.31,27.08,27.42,28.28,27.94,28.26
T2M,2020,10.5,76.25,27.55,29.31,30.31,30.49,29.01,26.88,25.69,25.93,25.78,25.99,26.65,25.79,27.44
T2M,2020,10.5,76.875,23.42,25.45,28.21,28.7,27.0,24.43,23.33,23.38,23.12,23.31,23.28,21.81,24.61
T2M,2020,10.5,77.5,23.12,24.87,28.52,29.69,29.3,26.26,24.92,24.98,24.46,24.33,23.44,21.63,25.46
T2M,2020,10.5,78.125,24.58,26.45,30.06,31.07,31.56,28.98,27.36,27.79,26.79,26.5,24.97,23.07,27.43
T2M,2020,10.5,78.75,24.65,26.7,30.08,31.4,32.39,30.3,28.33,28.88,27.74,27.38,26.0,23.88,28.14
T2M,2020,10.5,79.375,25.17,26.87,29.16,30.95,32.09,30.86,29.18,29.39,28.5,28.12,26.92,24.83,28.5
T2M,2020,11.0,75.0,28.12,28.26,28.77,29.68,29.99,28.78,27.49,27.74,27.28,27.61,28.51,28.42,28.39
T2M,2020,11.0,75.625,28.19,28.97,29.49,30.05,29.58,27.92,26.66,26.86,26.59,26.93,27.93,27.78,28.07
T2M,2020,11.0,76.25,25.32,27.12,28.67,29.14,27.67,25.24,24.13,24.35,24.06,24.31,24.61,23.8,25.69
T2M,2020,11.0,76.875,23.18,25.18,28.39,29.21,27.81,25.11,23.9,23.88,23.46,23.68,23.22,21.69,24.89
T2M,2020,11.0,77.5,25.06,27.12,30.59,31.66,31.71,28.22,26.64,26.72,25.99,25.92,24.9,23.14,27.3
T2M,2020,11.0,78.125,25.12,27.04,30.5,31.73,32.35,29.14,27.38,27.55,26.6,26.43,25.15,23.34,27.69
T2M,2020,11.0,78.75,24.25,26.15,29.84,31.44,32.83,29.79,27.73,28.0,26.91,26.6,25.46,23.28,27.69
T2M,2020,11.0,79.375,24.65,26.39,29.27,31.26,32.82,30.96,28.92,29.04,28.04,27.53,26.46,24.38,28.31
T2M,2020,11.5,75.0,28.09,28.36,28.9,29.81,29.86,28.58,27.33,27.5,27.11,27.44,28.35,28.41,28.31
T2M,2020,11.5,75.625,27.11,28.28,29.15,29.62,28.61,26.7,25.63,25.75,25.47,25.74,26.55,26.47,27.08
T2M,2020,11.5,76.25,23.07,24.97,27.09,27.69,26.3,23.56,22.64,22.74,22.32,22.53,22.56,21.87,23.94
T2M,2020,11.5,76.875,21.92,23.67,26.84,27.8,27.14,24.13,23.05,23.06,22.45,22.6,21.89,20.68,23.77
T2M,2020,11.5,77.5,24.4,26.51,29.65,30.7,31.41,27.89,26.13,26.22,25.2,25.08,23.96,22.5,26.63
T2M,2020,11.5,78.125,24.71,26.69,30.02,31.24,32.35,28.87,26.88,27.0,25.87,25.71,24.43,22.86,27.22
T2M,2020,11.5,78.75,23.56,25.27,29.08,30.74,32.5,29.29,26.92,27.14,25.94,25.67,24.44,22.36,26.91
T2M,2020,11.5,79.375,24.65,26.22,29.23,31.19,33.06,31.15,28.67,28.9,27.77,27.31,26.16,24.16,28.21
T2M,2020,12.0,75.0,27.7,28.3,29.03,29.9,29.43,27.97,26.83,26.93,26.64,26.89,27.75,27.8,27.93
T2M,2020,12.0,75.625,24.98,26.57,28.11,28.59,27.15,24.88,24.06,24.12,23.81,23.98,24.34,24.05,25.38
T2M,2020,12.0,76.25,22.65,24.87,27.51,27.85,26.44,23.32,22.54,22.53,22.01,22.16,21.85,21.14,23.73
T2M,2020,12.0,76.875,22.8,24.69,27.74,28.18,27.78,24.32,23.21,23.3,22.59,22.56,21.84,20.94,24.16
T2M,2020,12.0,77.5,23.06,25.03,28.2,28.97,29.92,26.32,24.54,24.57,23.53,23.37,22.3,20.96,25.06
T2M,2020,12.0,78.125,23.71,25.64,28.94,29.99,31.42,27.8,25.8,25.83,24.68,24.48,23.16,21.72,26.1
T2M,2020,12.0,78.75,23.22,24.9,28.59,30.2,32.0,29.06,26.39,26.53,25.3,25.02,23.63,21.67,26.38
T2M,2020,12.0,79.375,24.41,26.03,29.08,30.98,32.73,31.23,28.27,28.56,27.35,26.96,25.61,23.63,27.9
T2M,2020,8.5,75.0,28.14,28.18,28.8,29.54,29.7,28.94,27.86,27.77,27.74,27.86,28.21,28.14,28.41
T2M,2020,8.5,75.625,28.25,28.23,28.81,29.54,29.71,28.84,27.63,27.63,27.72,27.76,28.27,28.17,28.38
T2M,2020,8.5,76.25,28.29,28.39,28.93,29.64,29.63,28.5,27.19,27.33,27.58,27.52,28.39,28.12,28.29
T2M,2020,8.5,76.875,26.6,28.42,29.82,30.11,28.54,27.03,26.01,26.11,26.2,26.13,26.87,26.03,27.31
T2M,2020,8.5,77.5,24.04,26.36,29.25,29.68,28.11,26.35,25.72,25.97,25.25,25.73,25.36,23.71,26.29
T2M,2020,8.5,78.125,26.36,27.57,29.09,30.4,30.46,29.41,28.79,28.78,28.23,28.61,27.6,26.01,28.44
T2M,2020,8.5,78.75,27.49,27.61,28.26,29.43,29.92,29.1,28.29,27.87,27.86,27.89,28.19,27.21,28.26
T2M,2020,8.5,79.375,27.39,27.59,28.69,29.69,29.78,28.88,27.98,27.64,27.62,27.71,28.13,27.18,28.19
T2M,2020,9.0,75.0,28.14,28.13,28.79,29.55,29.81,28.97,27.82,27.73,27.72,27.83,28.33,28.17,28.41
T2M,2020,9.0,75.625,28.22,28.21,28.79,29.56,29.8,28.8,27.59,27.53,27.66,27.71,28.34,28.18,28.36
T2M,2020,9.0,76.25,28.38,28.88,29.4,29.9,29.55,28.28,27.03,27.13,27.34,27.35,28.28,27.94,28.28
T2M,2020,9.0,76.875,25.42,27.68,29.48,29.31,27.47,25.81,24.97,25.12,24.95,25.0,25.44,24.39,26.24
T2M,2020,9.0,77.5,23.97,26.52,29.98,29.96,28.37,26.43,25.81,25.97,25.19,25.41,25.06,23.31,26.33
T2M,2020,9.0,78.125,25.93,28.01,30.13,30.91,30.64,29.45,28.56,29.04,28.17,28.4,26.74,25.04,28.42
T2M,2020,9.0,78.75,26.95,27.69,28.95,30.2,30.58,29.84,28.99,28.93,28.69,28.62,27.88,26.37,28.64
T2M,2020,9.0,79.375,27.29,27.56,28.68,30.0,30.28,29.47,28.61,28.35,28.26,28.32,28.22,26.92,28.5
T2M,2020,9.5,75.0,28.12,28.12,28.75,29.61,29.9,28.94,27.78,27.74,27.69,27.8,28.41,28.19,28.42
T2M,2020,9.5,75.625,28.17,28.2,28.74,29.56,29.89,28.73,27.55,27.5,27.52,27.68,28.39,28.18,28.34
T2M,2020,9.5,76.25,28.6,29.41,29.89,30.27,29.49,28.08,26.92,27.01,27.04,27.21,28.34,28.09,28.36
T2M,2020,9.5,76.875,24.06,26.31,28.1,28.21,26.5,24.55,23.83,23.92,23.66,23.79,24.21,23.19,25.02
T2M,2020,9.5,77.5,23.17,25.33,28.58,28.84,27.77,25.74,24.83,25.16,24.31,24.4,23.65,22.09,25.32
T2M,2020,9.5,78.125,25.47,27.87,30.52,31.22,30.89,29.42,28.1,28.87,27.73,27.85,26.0,24.28,28.18
T2M,2020,9.5,78.75,25.77,27.44,29.62,30.82,31.16,30.34,29.06,29.55,28.78,28.66,27.02,25.21,28.62
T2M,2020,9.5,79.375,27.01,27.42,28.64,30.18,30.69,30.0,29.13,28.98,28.78,28.79,28.18,26.51,28.69
T2M,2021,10.0,75.0,27.81,28.05,28.6,29.07,29.21,28.74,27.82,27.3,27.89,27.73,27.58,28.1,28.16
T2M,2021,10.0,75.625,27.8,28.06,28.58,29.02,29.07,28.6,27.46,26.98,27.65,27.6,27.48,27.96,28.02
T2M,2021,10.0,76.25,27.1,28.09,29.67,28.78,28.04,27.27,26.35,26.05,26.5,26.63,26.41,26.68,27.29
T2M,2021,10.0,76.875,21.43,21.75,24.63,25.09,23.76,22.92,22.21,21.99,22.31,22.68,21.88,21.44,22.68
T2M,2021,10.0,77.5,20.65,20.86,24.13,26.51,25.07,24.25,23.6,23.66,23.34,23.06,21.88,20.72,23.15
T2M,2021,10.0,78.125,23.33,23.37,27.27,29.8,28.79,28.52,27.91,28.02,27.57,26.19,24.76,23.36,26.59
T2M,2021,10.0,78.75,24.37,24.03,27.77,30.29,29.95,29.96,29.5,29.44,28.62,27.02,25.63,24.43,27.6
T2M,2021,10.0,79.375,25.72,25.47,28.16,29.92,30.25,30.1,29.96,29.59,29.13,28.04,26.81,26.12,28.29
T2M,2021,10.5,75.0,27.85,28.01,28.69,29.12,29.25,28.71,27.72,27.32,27.82,27.74,27.59,28.1,28.16
T2M,2021,10.5,75.625,27.69,28.05,28.89,29.12,28.99,28.38,27.26,26.85,27.38,27.5,27.38,27.59,27.92
T2M,2021,10.5,76.25,26.15,27.48,29.6,28.97,27.74,26.75,25.94,25.63,26.0,26.24,25.84,25.26,26.79
